,PlotID,Time,Sensor,Temperature
204,Trial3,2013-05-16 10:54:35,iButton,48.071
205,Trial3,2013-05-16 10:54:40,iButton,48.572
206,Trial3,2013-05-16 10:54:45,iButton,49.573
207,Trial3,2013-05-16 10:54:50,iButton,50.574
208,Trial3,2013-05-16 10:54:55,iButton,51.074
209,Trial3,2013-05-16 10:55:00,iButton,52.075
210,Trial3,2013-05-16 10:55:05,iButton,52.575
211,Trial3,2013-05-16 10:55:10,iButton,53.075
212,Trial3,2013-05-16 10:55:15,iButton,54.076
213,Trial3,2013-05-16 10:55:20,iButton,54.576
214,Trial3,2013-05-16 10:55:25,iButton,55.076
215,Trial3,2013-05-16 10:55:30,iButton,55.576
216,Trial3,2013-05-16 10:55:35,iButton,56.076
217,Trial3,2013-05-16 10:55:40,iButton,57.076
218,Trial3,2013-05-16 10:55:45,iButton,57.577
219,Trial3,2013-05-16 10:55:50,iButton,58.076
220,Trial3,2013-05-16 10:55:55,iButton,58.576
221,Trial3,2013-05-16 10:56:00,iButton,59.076
222,Trial3,2013-05-16 10:56:05,iButton,59.576
223,Trial3,2013-05-16 10:56:10,iButton,59.576
224,Trial3,2013-05-16 10:56:15,iButton,60.076
225,Trial3,2013-05-16 10:56:20,iButton,60.576
226,Trial3,2013-05-16 10:56:25,iButton,61.076
227,Trial3,2013-05-16 10:56:30,iButton,61.076
228,Trial3,2013-05-16 10:56:35,iButton,61.576
229,Trial3,2013-05-16 10:56:40,iButton,62.075
230,Trial3,2013-05-16 10:56:45,iButton,62.575
231,Trial3,2013-05-16 10:56:50,iButton,62.575
232,Trial3,2013-05-16 10:56:55,iButton,63.075
233,Trial3,2013-05-16 10:57:00,iButton,63.075
234,Trial3,2013-05-16 10:57:05,iButton,63.575
235,Trial3,2013-05-16 10:57:10,iButton,63.575
236,Trial3,2013-05-16 10:57:15,iButton,64.074
237,Trial3,2013-05-16 10:57:20,iButton,64.074
238,Trial3,2013-05-16 10:57:25,iButton,64.574
239,Trial3,2013-05-16 10:57:30,iButton,64.574
240,Trial3,2013-05-16 10:57:35,iButton,64.574
241,Trial3,2013-05-16 10:57:40,iButton,65.074
242,Trial3,2013-05-16 10:57:45,iButton,65.074
243,Trial3,2013-05-16 10:57:50,iButton,65.573
244,Trial3,2013-05-16 10:57:55,iButton,65.573
245,Trial3,2013-05-16 10:58:00,iButton,65.573
246,Trial3,2013-05-16 10:58:05,iButton,65.573
247,Trial3,2013-05-16 10:58:10,iButton,66.073
248,Trial3,2013-05-16 10:58:15,iButton,66.073
249,Trial3,2013-05-16 10:58:20,iButton,66.073
250,Trial3,2013-05-16 10:58:25,iButton,66.073
251,Trial3,2013-05-16 10:58:30,iButton,66.073
252,Trial3,2013-05-16 10:58:35,iButton,66.572
253,Trial3,2013-05-16 10:58:40,iButton,66.572
254,Trial3,2013-05-16 10:58:45,iButton,66.572
255,Trial3,2013-05-16 10:58:50,iButton,66.572
256,Trial3,2013-05-16 10:58:55,iButton,66.572
257,Trial3,2013-05-16 10:59:00,iButton,66.572
258,Trial3,2013-05-16 10:59:05,iButton,66.572
259,Trial3,2013-05-16 10:59:10,iButton,66.572
260,Trial3,2013-05-16 10:59:15,iButton,67.072
261,Trial3,2013-05-16 10:59:20,iButton,67.072
262,Trial3,2013-05-16 10:59:25,iButton,67.072
263,Trial3,2013-05-16 10:59:30,iButton,67.072
264,Trial3,2013-05-16 10:59:35,iButton,67.072
265,Trial3,2013-05-16 10:59:40,iButton,67.072
266,Trial3,2013-05-16 10:59:45,iButton,67.072
267,Trial3,2013-05-16 10:59:50,iButton,67.072
268,Trial3,2013-05-16 10:59:55,iButton,67.072
269,Trial3,2013-05-16 11:00:00,iButton,67.072
270,Trial3,2013-05-16 11:00:05,iButton,67.072
271,Trial3,2013-05-16 11:00:10,iButton,67.072
272,Trial3,2013-05-16 11:00:15,iButton,67.072
273,Trial3,2013-05-16 11:00:20,iButton,67.072
274,Trial3,2013-05-16 11:00:25,iButton,67.072
275,Trial4,2013-05-16 11:53:55,iButton,35.049
276,Trial4,2013-05-16 11:54:00,iButton,35.049
277,Trial4,2013-05-16 11:54:05,iButton,35.55
278,Trial4,2013-05-16 11:54:10,iButton,35.55
279,Trial4,2013-05-16 11:54:15,iButton,36.051
280,Trial4,2013-05-16 11:54:20,iButton,36.552
281,Trial4,2013-05-16 11:54:25,iButton,37.554
282,Trial4,2013-05-16 11:54:30,iButton,38.055
283,Trial4,2013-05-16 11:54:35,iButton,39.058
284,Trial4,2013-05-16 11:54:40,iButton,40.059
285,Trial4,2013-05-16 11:54:45,iButton,41.061
286,Trial4,2013-05-16 11:54:50,iButton,42.063
287,Trial4,2013-05-16 11:54:55,iButton,43.065
288,Trial4,2013-05-16 11:55:00,iButton,44.066
289,Trial4,2013-05-16 11:55:05,iButton,45.068
290,Trial4,2013-05-16 11:55:10,iButton,46.069
291,Trial4,2013-05-16 11:55:15,iButton,47.07
292,Trial4,2013-05-16 11:55:20,iButton,48.071
293,Trial4,2013-05-16 11:55:25,iButton,49.072
294,Trial4,2013-05-16 11:55:30,iButton,50.073
295,Trial4,2013-05-16 11:55:35,iButton,51.074
296,Trial4,2013-05-16 11:55:40,iButton,52.575
297,Trial4,2013-05-16 11:55:45,iButton,53.075
298,Trial4,2013-05-16 11:55:50,iButton,54.076
299,Trial4,2013-05-16 11:55:55,iButton,55.076
300,Trial4,2013-05-16 11:56:00,iButton,56.076
301,Trial4,2013-05-16 11:56:05,iButton,57.076
302,Trial4,2013-05-16 11:56:10,iButton,57.577
303,Trial4,2013-05-16 11:56:15,iButton,58.576
304,Trial4,2013-05-16 11:56:20,iButton,59.576
305,Trial4,2013-05-16 11:56:25,iButton,60.076
306,Trial4,2013-05-16 11:56:30,iButton,61.076
307,Trial4,2013-05-16 11:56:35,iButton,61.576
308,Trial4,2013-05-16 11:56:40,iButton,62.075
309,Trial4,2013-05-16 11:56:45,iButton,63.075
310,Trial4,2013-05-16 11:56:50,iButton,63.575
311,Trial4,2013-05-16 11:56:55,iButton,64.074
312,Trial4,2013-05-16 11:57:00,iButton,64.574
313,Trial4,2013-05-16 11:57:05,iButton,65.074
314,Trial4,2013-05-16 11:57:10,iButton,65.573
315,Trial4,2013-05-16 11:57:15,iButton,66.073
316,Trial4,2013-05-16 11:57:20,iButton,66.572
317,Trial4,2013-05-16 11:57:25,iButton,67.072
318,Trial4,2013-05-16 11:57:30,iButton,67.072
319,Trial4,2013-05-16 11:57:35,iButton,67.571
320,Trial4,2013-05-16 11:57:40,iButton,68.071
321,Trial4,2013-05-16 11:57:45,iButton,68.071
322,Trial4,2013-05-16 11:57:50,iButton,68.57
323,Trial4,2013-05-16 11:57:55,iButton,69.07
324,Trial4,2013-05-16 11:58:00,iButton,69.07
325,Trial4,2013-05-16 11:58:05,iButton,69.569
326,Trial4,2013-05-16 11:58:10,iButton,69.569
327,Trial4,2013-05-16 11:58:15,iButton,70.068
328,Trial4,2013-05-16 11:58:20,iButton,70.068
329,Trial4,2013-05-16 11:58:25,iButton,70.068
330,Trial4,2013-05-16 11:58:30,iButton,70.568
331,Trial4,2013-05-16 11:58:35,iButton,70.568
332,Trial4,2013-05-16 11:58:40,iButton,71.067
333,Trial4,2013-05-16 11:58:45,iButton,71.067
334,Trial4,2013-05-16 11:58:50,iButton,71.067
335,Trial4,2013-05-16 11:58:55,iButton,71.067
336,Trial4,2013-05-16 11:59:00,iButton,71.566
337,Trial4,2013-05-16 11:59:05,iButton,71.566
338,Trial4,2013-05-16 11:59:10,iButton,71.566
339,Trial4,2013-05-16 11:59:15,iButton,71.566
340,Trial4,2013-05-16 11:59:20,iButton,71.566
341,Trial4,2013-05-16 11:59:25,iButton,72.065
342,Trial4,2013-05-16 11:59:30,iButton,72.065
343,Trial4,2013-05-16 11:59:35,iButton,72.065
344,Trial4,2013-05-16 11:59:40,iButton,72.065
345,Trial4,2013-05-16 11:59:45,iButton,72.065
346,Trial4,2013-05-16 11:59:50,iButton,72.065
347,Trial4,2013-05-16 11:59:55,iButton,72.065
348,Trial4,2013-05-16 12:00:00,iButton,72.065
349,Trial4,2013-05-16 12:00:05,iButton,72.065
350,Trial4,2013-05-16 12:00:10,iButton,72.065
351,Trial4,2013-05-16 12:00:15,iButton,72.065
352,Trial4,2013-05-16 12:00:20,iButton,72.065
353,Trial4,2013-05-16 12:00:25,iButton,72.065
354,Trial4,2013-05-16 12:00:30,iButton,72.065
355,Trial4,2013-05-16 12:00:35,iButton,72.065
356,Trial4,2013-05-16 12:00:40,iButton,72.065
357,Trial4,2013-05-16 12:00:45,iButton,72.065
358,Trial4,2013-05-16 12:00:50,iButton,72.065
359,Trial4,2013-05-16 12:00:55,iButton,72.065
360,Trial5,2013-05-18 07:27:10,iButton,26.551
361,Trial5,2013-05-18 07:27:15,iButton,26.551
362,Trial5,2013-05-18 07:27:20,iButton,26.551
363,Trial5,2013-05-18 07:27:25,iButton,26.551
364,Trial5,2013-05-18 07:27:30,iButton,26.551
365,Trial5,2013-05-18 07:27:35,iButton,26.049
366,Trial5,2013-05-18 07:27:40,iButton,26.049
367,Trial5,2013-05-18 07:27:45,iButton,26.049
368,Trial5,2013-05-18 07:27:50,iButton,26.049
369,Trial5,2013-05-18 07:27:55,iButton,26.049
370,Trial5,2013-05-18 07:28:00,iButton,26.049
371,Trial5,2013-05-18 07:28:05,iButton,26.049
372,Trial5,2013-05-18 07:28:10,iButton,26.049
373,Trial5,2013-05-18 07:28:15,iButton,26.049
374,Trial5,2013-05-18 07:28:20,iButton,26.049
375,Trial5,2013-05-18 07:28:25,iButton,25.548
376,Trial5,2013-05-18 07:28:30,iButton,25.548
377,Trial5,2013-05-18 07:28:35,iButton,25.548
378,Trial5,2013-05-18 07:28:40,iButton,25.548
379,Trial5,2013-05-18 07:28:45,iButton,25.548
380,Trial5,2013-05-18 07:28:50,iButton,25.548
381,Trial5,2013-05-18 07:28:55,iButton,25.548
382,Trial5,2013-05-18 07:29:00,iButton,25.548
383,Trial5,2013-05-18 07:29:05,iButton,25.548
384,Trial5,2013-05-18 07:29:10,iButton,25.548
385,Trial5,2013-05-18 07:29:15,iButton,25.548
386,Trial5,2013-05-18 07:29:20,iButton,25.548
387,Trial5,2013-05-18 07:29:25,iButton,25.548
388,Trial5,2013-05-18 07:29:30,iButton,25.548
389,Trial5,2013-05-18 07:29:35,iButton,25.548
390,Trial5,2013-05-18 07:29:40,iButton,25.548
391,Trial5,2013-05-18 07:29:45,iButton,25.548
392,Trial5,2013-05-18 07:29:50,iButton,25.548
393,Trial5,2013-05-18 07:29:55,iButton,25.548
394,Trial5,2013-05-18 07:30:00,iButton,25.548
395,Trial5,2013-05-18 07:30:05,iButton,25.548
396,Trial5,2013-05-18 07:30:10,iButton,25.548
397,Trial5,2013-05-18 07:30:15,iButton,25.046
398,Trial5,2013-05-18 07:30:20,iButton,25.046
399,Trial5,2013-05-18 07:30:25,iButton,25.046
400,Trial5,2013-05-18 07:30:30,iButton,25.046
401,Trial5,2013-05-18 07:30:35,iButton,25.046
402,Trial5,2013-05-18 07:30:40,iButton,25.046
403,Trial5,2013-05-18 07:30:45,iButton,25.046
404,Trial5,2013-05-18 07:30:50,iButton,25.046
405,Trial5,2013-05-18 07:30:55,iButton,25.046
406,Trial5,2013-05-18 07:31:00,iButton,25.046
407,Trial5,2013-05-18 07:31:05,iButton,25.046
