"¥éË""Plot Title: Logger 2""",,,,,
#,"Date Time, GMT+02:00","K-Type, ŒÁC (LGR S/N: 10297654, SEN S/N: 10297654, LBL: TempFire)",,,End Of File (LGR S/N: 10297654)
202,10/03/2014 07:03:21,-888.88,,,
203,10/03/2014 07:03:22,-888.88,,,
204,10/03/2014 07:03:23,-888.88,,,
205,10/03/2014 07:03:24,-888.88,,,
206,10/03/2014 07:03:25,-888.88,,,
207,10/03/2014 07:03:26,-888.88,,,
208,10/03/2014 07:03:27,-888.88,,,
209,10/03/2014 07:03:28,-888.88,,,
210,10/03/2014 07:03:29,-888.88,,,
211,10/03/2014 07:03:30,-888.88,,,
212,10/03/2014 07:03:31,-888.88,,,
213,10/03/2014 07:03:32,-888.88,,,
214,10/03/2014 07:03:33,-888.88,,,
215,10/03/2014 07:03:34,-888.88,,,
216,10/03/2014 07:03:35,-888.88,,,
217,10/03/2014 07:03:36,-888.88,,,
218,10/03/2014 07:03:37,-888.88,,,
219,10/03/2014 07:03:38,-888.88,,,
220,10/03/2014 07:03:39,-888.88,,,
221,10/03/2014 07:03:40,-888.88,,,
222,10/03/2014 07:03:41,-888.88,,,
223,10/03/2014 07:03:42,-888.88,,,
224,10/03/2014 07:03:43,-888.88,,,
225,10/03/2014 07:03:44,-888.88,,,
226,10/03/2014 07:03:45,-888.88,,,
227,10/03/2014 07:03:46,-888.88,,,
228,10/03/2014 07:03:47,-888.88,,,
229,10/03/2014 07:03:48,-888.88,,,
230,10/03/2014 07:03:49,-888.88,,,
231,10/03/2014 07:03:50,-888.88,,,
232,10/03/2014 07:03:51,-888.88,,,
233,10/03/2014 07:03:52,-888.88,,,
234,10/03/2014 07:03:53,-888.88,,,
235,10/03/2014 07:03:54,-888.88,,,
236,10/03/2014 07:03:55,-888.88,,,
237,10/03/2014 07:03:56,-888.88,,,
238,10/03/2014 07:03:57,-888.88,,,
239,10/03/2014 07:03:58,-888.88,,,
240,10/03/2014 07:03:59,-888.88,,,
241,10/03/2014 07:04:00,-888.88,,,
242,10/03/2014 07:04:01,-888.88,,,
243,10/03/2014 07:04:02,-888.88,,,
244,10/03/2014 07:04:03,-888.88,,,
245,10/03/2014 07:04:04,-888.88,,,
246,10/03/2014 07:04:05,-888.88,,,
247,10/03/2014 07:04:06,-888.88,,,
248,10/03/2014 07:04:07,-888.88,,,
249,10/03/2014 07:04:08,-888.88,,,
250,10/03/2014 07:04:09,-888.88,,,
251,10/03/2014 07:04:10,-888.88,,,
252,10/03/2014 07:04:11,-888.88,,,
253,10/03/2014 07:04:12,-888.88,,,
254,10/03/2014 07:04:13,-888.88,,,
255,10/03/2014 07:04:14,-888.88,,,
256,10/03/2014 07:04:15,-888.88,,,
257,10/03/2014 07:04:16,-888.88,,,
258,10/03/2014 07:04:17,-888.88,,,
259,10/03/2014 07:04:18,-888.88,,,
260,10/03/2014 07:04:19,-888.88,,,
261,10/03/2014 07:04:20,-888.88,,,
262,10/03/2014 07:04:21,-888.88,,,
263,10/03/2014 07:04:22,-888.88,,,
264,10/03/2014 07:04:23,-888.88,,,
265,10/03/2014 07:04:24,-888.88,,,
266,10/03/2014 07:04:25,-888.88,,,
267,10/03/2014 07:04:26,-888.88,,,
268,10/03/2014 07:04:27,-888.88,,,
269,10/03/2014 07:04:28,-888.88,,,
270,10/03/2014 07:04:29,-888.88,,,
271,10/03/2014 07:04:30,-888.88,,,
272,10/03/2014 07:04:31,-888.88,,,
273,10/03/2014 07:04:32,-888.88,,,
274,10/03/2014 07:04:33,-888.88,,,
275,10/03/2014 07:04:34,-888.88,,,
276,10/03/2014 07:04:35,-888.88,,,
277,10/03/2014 07:04:36,-888.88,,,
278,10/03/2014 07:04:37,-888.88,,,
279,10/03/2014 07:04:38,-888.88,,,
280,10/03/2014 07:04:39,-888.88,,,
281,10/03/2014 07:04:40,-888.88,,,
282,10/03/2014 07:04:41,-888.88,,,
283,10/03/2014 07:04:42,-888.88,,,
284,10/03/2014 07:04:43,-888.88,,,
285,10/03/2014 07:04:44,-888.88,,,
286,10/03/2014 07:04:45,-888.88,,,
287,10/03/2014 07:04:46,-888.88,,,
288,10/03/2014 07:04:47,-888.88,,,
289,10/03/2014 07:04:48,-888.88,,,
290,10/03/2014 07:04:49,-888.88,,,
291,10/03/2014 07:04:50,-888.88,,,
292,10/03/2014 07:04:51,-888.88,,,
293,10/03/2014 07:04:52,-888.88,,,
294,10/03/2014 07:04:53,-888.88,,,
295,10/03/2014 07:04:54,-888.88,,,
296,10/03/2014 07:04:55,-888.88,,,
297,10/03/2014 07:04:56,-888.88,,,
298,10/03/2014 07:04:57,-888.88,,,
299,10/03/2014 07:04:58,-888.88,,,
300,10/03/2014 07:04:59,-888.88,,,
301,10/03/2014 07:05:00,-888.88,,,
302,10/03/2014 07:05:01,-888.88,,,
303,10/03/2014 07:05:02,-888.88,,,
304,10/03/2014 07:05:03,-888.88,,,
305,10/03/2014 07:05:04,-888.88,,,
306,10/03/2014 07:05:05,-888.88,,,
307,10/03/2014 07:05:06,-888.88,,,
308,10/03/2014 07:05:07,-888.88,,,
309,10/03/2014 07:05:08,-888.88,,,
310,10/03/2014 07:05:09,-888.88,,,
311,10/03/2014 07:05:10,-888.88,,,
312,10/03/2014 07:05:11,-888.88,,,
313,10/03/2014 07:05:12,-888.88,,,
314,10/03/2014 07:05:13,-888.88,,,
315,10/03/2014 07:05:14,-888.88,,,
316,10/03/2014 07:05:15,-888.88,,,
317,10/03/2014 07:05:16,-888.88,,,
318,10/03/2014 07:05:17,-888.88,,,
319,10/03/2014 07:05:18,-888.88,,,
320,10/03/2014 07:05:19,-888.88,,,
321,10/03/2014 07:05:20,-888.88,,,
322,10/03/2014 07:05:21,-888.88,,,
323,10/03/2014 07:05:22,-888.88,,,
324,10/03/2014 07:05:23,-888.88,,,
325,10/03/2014 07:05:24,-888.88,,,
326,10/03/2014 07:05:25,-888.88,,,
327,10/03/2014 07:05:26,-888.88,,,
328,10/03/2014 07:05:27,-888.88,,,
329,10/03/2014 07:05:28,-888.88,,,
330,10/03/2014 07:05:29,-888.88,,,
331,10/03/2014 07:05:30,-888.88,,,
332,10/03/2014 07:05:31,-888.88,,,
333,10/03/2014 07:05:32,-888.88,,,
334,10/03/2014 07:05:33,-888.88,,,
335,10/03/2014 07:05:34,-888.88,,,
336,10/03/2014 07:05:35,-888.88,,,
337,10/03/2014 07:05:36,-888.88,,,
338,10/03/2014 07:05:37,-888.88,,,
339,10/03/2014 07:05:38,-888.88,,,
340,10/03/2014 07:05:39,-888.88,,,
341,10/03/2014 07:05:40,-888.88,,,
342,10/03/2014 07:05:41,-888.88,,,
343,10/03/2014 07:05:42,-888.88,,,
344,10/03/2014 07:05:43,-888.88,,,
345,10/03/2014 07:05:44,-888.88,,,
346,10/03/2014 07:05:45,-888.88,,,
347,10/03/2014 07:05:46,-888.88,,,
348,10/03/2014 07:05:47,-888.88,,,
349,10/03/2014 07:05:48,-888.88,,,
350,10/03/2014 07:05:49,-888.88,,,
351,10/03/2014 07:05:50,-888.88,,,
352,10/03/2014 07:05:51,-888.88,,,
353,10/03/2014 07:05:52,-888.88,,,
354,10/03/2014 07:05:53,-888.88,,,
355,10/03/2014 07:05:54,-888.88,,,
356,10/03/2014 07:05:55,-888.88,,,
357,10/03/2014 07:05:56,-888.88,,,
358,10/03/2014 07:05:57,-888.88,,,
359,10/03/2014 07:05:58,-888.88,,,
360,10/03/2014 07:05:59,-888.88,,,
361,10/03/2014 07:06:00,-888.88,,,
362,10/03/2014 07:06:01,-888.88,,,
363,10/03/2014 07:06:02,-888.88,,,
364,10/03/2014 07:06:03,-888.88,,,
365,10/03/2014 07:06:04,-888.88,,,
366,10/03/2014 07:06:05,-888.88,,,
367,10/03/2014 07:06:06,-888.88,,,
368,10/03/2014 07:06:07,-888.88,,,
369,10/03/2014 07:06:08,-888.88,,,
370,10/03/2014 07:06:09,-888.88,,,
371,10/03/2014 07:06:10,-888.88,,,
372,10/03/2014 07:06:11,-888.88,,,
373,10/03/2014 07:06:12,-888.88,,,
374,10/03/2014 07:06:13,-888.88,,,
375,10/03/2014 07:06:14,-888.88,,,
376,10/03/2014 07:06:15,-888.88,,,
377,10/03/2014 07:06:16,-888.88,,,
378,10/03/2014 07:06:17,-888.88,,,
379,10/03/2014 07:06:18,-888.88,,,
380,10/03/2014 07:06:19,-888.88,,,
381,10/03/2014 07:06:20,-888.88,,,
382,10/03/2014 07:06:21,-888.88,,,
383,10/03/2014 07:06:22,-888.88,,,
384,10/03/2014 07:06:23,-888.88,,,
385,10/03/2014 07:06:24,-888.88,,,
386,10/03/2014 07:06:25,-888.88,,,
387,10/03/2014 07:06:26,-888.88,,,
388,10/03/2014 07:06:27,-888.88,,,
389,10/03/2014 07:06:28,-888.88,,,
390,10/03/2014 07:06:29,-888.88,,,
391,10/03/2014 07:06:30,-888.88,,,
392,10/03/2014 07:06:31,-888.88,,,
393,10/03/2014 07:06:32,-888.88,,,
394,10/03/2014 07:06:33,-888.88,,,
395,10/03/2014 07:06:34,-888.88,,,
396,10/03/2014 07:06:35,-888.88,,,
397,10/03/2014 07:06:36,-888.88,,,
398,10/03/2014 07:06:37,-888.88,,,
399,10/03/2014 07:06:38,-888.88,,,
